Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Adafruit_Feather_RP2040_RFM9x","Adafruit_Feather",169.052500,-117.050000,180.000000,top
"J1","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",186.400000,-104.860000,0.000000,top
"J2","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",177.600000,-113.480000,180.000000,top
"J3","Conn_01x08_Socket","PinSocket_1x08_P2.54mm_Vertical",114.000000,-78.620000,180.000000,top
"J4","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Vertical",121.000000,-83.720000,0.000000,top
"J5","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Vertical",141.200000,-96.460000,180.000000,top
"J6","Conn_01x02_Socket","PinSocket_1x02_P2.54mm_Vertical",113.800000,-116.540000,180.000000,top
"J7","Conn_01x02_Socket","PinSocket_1x02_P2.54mm_Vertical",103.975000,-116.450000,180.000000,top
"J8","Conn_01x02_Socket","PinSocket_1x02_P2.54mm_Vertical",126.600000,-106.460000,0.000000,top
"J9","Conn_01x02_Socket","PinSocket_1x02_P2.54mm_Vertical",134.200000,-116.000000,0.000000,top
"J10","Conn_01x13_Socket","PinSocket_1x13_P2.54mm_Vertical",196.300000,-73.260000,0.000000,top
"J11","Conn_01x02_Socket","PinSocket_1x02_P2.54mm_Vertical",196.300000,-110.900000,0.000000,top
"J12","Conn_01x04_Socket","PinSocket_1x04_P2.54mm_Vertical",102.300000,-98.180000,180.000000,top
"J13","Conn_01x02_Socket","PinSocket_1x02_P2.54mm_Vertical",141.600000,-116.000000,0.000000,top
"J14","Conn_01x04_Socket","PinSocket_1x04_P2.54mm_Vertical",180.820000,-60.675000,90.000000,top
"R1","10k","R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",186.400000,-114.740000,90.000000,top
"R2","180R","R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",178.430000,-68.150000,0.000000,top
"R3","100R","R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",178.430000,-74.900000,0.000000,top
"R4","100R","R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",178.430000,-81.800000,0.000000,top
"R5","10k","R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",126.600000,-116.540000,90.000000,top
"R6","10k","R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical",117.225000,-105.890000,180.000000,top
